,MAGPIID,segID,xmax,ymax,RAmax,Decmax,z.x,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it,fwhm_g,fwhm_r,fwhm_i,fwhm_z,stelkinfrac0p5Re,stelkinfracRe,gaskinfrac0p5Re,gaskinfracRe,re_galfit,re_err_galfit,n_galfit,n_err_galfit,q_galfit,q_err_galfit,mag_galfit,mag_err_galfit,pa_galfit,pa_err_galfit,chi2_galfit,z.y,StellarMass_bestfit,StellarMass_median,StellarMass_16,StellarMass_84,SFRburst_bestfit,SFRburst_median,SFRburst_16,SFRburst_84,P_asym,P_asym_err,C,C_err,centre_asym_x,centre_asym_y,centroid_x,centroid_y,walk_dist_pix,nan_frac
52,1531194196,1,194.5,196.5,222.90367,-1.682174,0.3463,4,18.723,18.099,1.24,3.692,0.841,27.38,0.620042677674493,0.568691193744923,0.500024770757873,0.449051903751505,1.0,1.0,0.0,0.0564516129032258,1.7,0.02,6.01,0.05,0.79,0.0,17.87,0.01,57.28,0.32,39.383,0.3463,485616878894.937,422935321520.598,341641695538.393,498067731905.879,1.53336661667342e-44,1.85390231900738e-25,3.84474233748908e-146,1.2867947871116e-07,0.05250417729826355,0.004459972708138163,3.553877804549294,0.011255005307152217,83.37740727912706,83.40560753086379,82.94780734390456,82.94780734390456,0.42959993754168674,0.28
53,1533122361,1,122.5,361.5,222.97313,-0.132816,0.1477,4,18.236,17.779,1.041,2.595,0.607,68.93,0.572642793002213,0.536133123414348,0.478118191318244,0.436441140855001,1.0,0.9875,0.590909090909091,0.325,1.19,0.01,3.31,0.04,0.6,0.0,17.52,0.01,48.24,0.36,117.803,0.1477,93121175256.494,77063593765.7379,65794911585.3436,91067936048.1374,1.9750695876248295e-26,1.03119898967042e-31,1.57298691220762e-144,4.67984050962374e-07,0.42494790152323825,0.019730384335892304,3.146992897821122,0.011694077899621647,63.10562460231683,34.849227325194356,63.98260942111273,63.98260942111273,2.022867957448213,0.02
54,1533176049,6,176.5,49.5,222.97013,-0.15015,0.3145,4,19.888,19.374,1.368,2.597,0.602,153.52,0.572642793002213,0.536133123414348,0.478118191318244,0.436441140855001,0.973684210526316,0.513513513513513,1.0,0.837837837837838,2.17,0.02,1.13,0.01,0.24,0.0,19.17,0.01,-13.56,0.13,37.29,0.3145,125226188208.921,121292400539.55,105361008784.964,143729831623.558,30.6171707017994,38.3615714906712,30.4641796372889,46.9219037159932,0.47077295051309037,0.026785182131272834,2.4114665981158394,0.007046564929780209,46.99718480782397,48.85555094075798,47.318186590216534,47.318186590216534,2.0138220420457613,0.1
55,1533197198,3,197.5,198.5,222.968964,-0.141872,0.3154,4,19.274,18.721,1.28,2.947,0.57,5.4,0.572642793002213,0.536133123414348,0.478118191318244,0.436441140855001,1.0,0.992307692307692,1.0,1.0,1.21,0.0,1.83,0.01,0.49,0.0,18.72,0.0,4.18,0.1,40.596,0.3154,28121096657.2712,69335346098.2134,41728700951.5267,81576281503.4588,0.0002355941994345,4.1890251117486e-36,0.0,1.17347784390495e-07,0.07482745004683819,0.005346421213248578,2.7037309676058987,0.004756323307676915,61.340358760190206,60.965509286230045,61.26241170535427,61.26241170535427,0.10475615836806952,0.18
56,1534149233,4,149.5,233.5,223.092557,-0.970167,0.3116,4,19.128,18.571,1.254,3.728,0.685,38.54,0.63252201087901,0.600142372174928,0.553404878495435,0.513961302379015,1.0,1.0,0.0,0.0079365079365079,2.14,0.32,8.0,0.67,0.6,0.01,18.09,0.06,48.05,1.37,1583.063,0.3116,95479916913.8639,123399694787.379,98877998756.2954,143103131641.017,5.93569761093193e-05,1.70067639026597e-10,4.00277414575163e-58,0.0065538713187033,0.155733363789561,0.005156136045947595,3.6713028499330527,0.07888692598686053,73.62160022421904,73.61220800219269,73.41149627012078,73.41149627012078,0.7607447806569193,0.57
57,1534176099,6,176.5,99.5,223.091056,-0.977612,0.3092,4,19.08,18.509,1.155,3.1,0.897,109.94,0.63252201087901,0.600142372174928,0.553404878495435,0.513961302379015,1.0,1.0,0.0,0.0,1.18,0.09,4.4,0.29,0.94,0.03,18.23,0.04,80.92,17.12,4728.853,0.3092,122300480050.32,139696238571.517,128075952954.086,153758509995.38,0.0081432238705708,0.040701133921269,4.86252144228223e-05,0.373263317550768,0.018365340986498016,0.004982472660765886,3.4032103301820555,0.503392366166761,79.44040995135816,78.93964365901905,79.50677713504892,79.50677713504892,0.06734197083452702,0.53
58,1534198197,5,198.5,197.5,223.089834,-0.972167,0.3129,4,18.531,17.933,2.324,6.102,0.633,24.27,0.63252201087901,0.600142372174928,0.553404878495435,0.513961302379015,1.0,0.727699530516432,0.0283018867924528,0.0140845070422535,4.04,0.31,5.46,0.22,0.5,0.01,17.53,0.04,35.61,0.53,1114.832,0.3129,366245932020.107,297042615362.828,252083422085.616,331996711712.935,8.572115897330721e-15,2.03556034521316e-10,7.37285691194877e-39,0.026332843385121,0.16474284254098756,0.0040741765243573706,3.747406975827397,0.06870579925519175,99.000002341695,99.26090742799278,98.39938921430353,98.39938921430353,0.7337662428093795,0.47
59,1534224157,8,224.5,157.5,223.088389,-0.974389,0.3083,4,19.301,18.738,1.1,3.275,0.727,39.31,0.63252201087901,0.600142372174928,0.553404878495435,0.513961302379015,1.0,0.978723404255319,0.0,0.0,1.16,0.02,3.55,0.07,0.18,0.0,18.74,0.01,51.76,0.14,202.762,0.3083,171592351559.98,130255845295.901,104608385678.703,149403836063.523,4.97118008363762e-133,1.40941597885006e-09,4.40295432334416e-48,0.0033695825843821,0.07479303748072798,0.005079529483046124,3.0766832430314883,0.005391544759388312,57.32993230087292,57.00908446993826,56.38808623697339,56.38808623697339,1.0632907819219966,0.86
60,1534302074,13,302.5,74.5,223.084055,-0.979001,0.3098,4,19.845,19.247,0.834,2.458,0.774,90.42,0.63252201087901,0.600142372174928,0.553404878495435,0.513961302379015,1.0,1.0,0.0,0.0,0.9,0.01,7.57,0.11,0.62,0.0,18.88,0.01,85.62,0.27,16.352,0.3098,109856040133.566,89149281297.9485,77508745735.7387,103544773500.099,1.16216846945801e-10,4.09508353992506e-06,1.35872629893828e-13,0.0193813807013837,0.024792879082929497,0.005561215052526323,3.1808084692536323,0.008733332706520056,55.07126874063773,55.01368098263068,55.05063733176025,55.05063733176025,0.05456472192868169,0.22
61,2301064121,10,64.5,121.5,339.499849,-31.859218,0.2945,4,19.99,19.534,1.1,2.262,0.702,93.18,0.704372042140792,0.669658015381145,0.620052310273567,0.580159636243852,1.0,0.914893617021277,1.0,1.0,0.93,0.0,1.07,0.01,0.61,0.0,19.55,0.0,89.06,0.21,7.669,0.2945,53642729751.6213,69165867888.3574,54919691027.5072,83506150090.5194,23.8161306057681,25.5971681827678,18.5377691414823,34.2881057201073,0.08311272614438155,0.008140549266814106,2.403472405909934,0.0057453511449035094,56.61854903351086,56.978774907955014,56.386281897605954,56.386281897605954,0.23290892913311423,0.12
