MAGPIID,z,v_asym_g,v_asym_g_err,v_asym_s,v_asym_s_err,PA_g,PA_s,D_PA,V_rot_g,V_rot_s,Sigma_g,Sigma_s,SNR_g,SNR_s,re_over_psf
2303197196,0.3428,0.012474741714715836,0.002934583486712388,0.06300640154458953,0.014386229322037751,71.12237750033893,75.58562372450781,4.463246224168884,227.11513415997157,184.07706718788486,67.39748647470115,98.2981409750887,15.759341080964038,9.33894225414868,2.8900000000000006
2304104201,0.2882,0.013907509071503874,0.0009361062001327951,0.04071163819999159,0.011750075303777174,226.41646003797766,220.6270724948727,5.789387543104965,202.6861896510157,188.16010098898624,51.86126867884919,64.52624155927741,60.972023196649914,16.081143832394844,1.9600000000000004
2304158110,0.3395,0.0831082999704739,0.010036607531912455,,,151.53415200646825,,,53.44592695244782,,51.335228370619824,,9.2058527187326,,1.152857142857143
2304188222,0.2828,0.051326019576578986,0.017073990947390268,,,104.02761615561707,18.0,86.02761615561707,82.29491355755712,45.99152042384341,73.22346379731957,87.53080461845214,27.21801565132893,9.615446545586176,1.6057142857142859
2304196198,0.2857,0.031469032726122274,0.009727562460106379,0.031705730546934686,0.007826727348240078,348.00512140021044,160.72884211288567,187.27627928732477,219.81477371137382,143.1714751040956,187.97529479306007,212.0918157522493,14.631455627390414,24.79980773472861,1.9042857142857144
2305192319,0.3853,,,0.04213993766826861,0.01302701982590236,,260.4311836786282,,,180.96657180549087,,119.01248964346723,,16.26018180507486,1.2885714285714287
2305197198,0.3173,,,0.032567375336558825,0.009980913243896512,,257.84080113063334,,,136.40835432753863,,215.4453479571804,,29.393842192383218,1.46
2305332151,0.3064,0.06518301066023958,0.013773570579723808,,,103.06799446455943,,,42.21531527352243,,47.213738712239824,,27.205474560520884,,1.192857142857143
2306197198,0.3139,,,0.03401209092678986,0.009936642633952683,,287.14099432147515,,,237.13978686410852,,222.4368981646286,,26.64064450651166,1.5714285714285716
2307197200,0.3357,,,0.035175119299950576,0.01387172796582022,,347.4274061007215,,,86.01972736010127,,222.48158886395768,,24.20429661954775,2.2614285714285716
2307203233,0.3349,,,0.0857282074875849,0.029497152274491203,,177.86278204456303,,,75.88727156856609,,86.01289507774139,,9.845336568270014,1.2314285714285715
2307228105,0.3342,,,0.02504611388209149,0.006840273937626496,,307.74165591403164,,,201.1101242458951,,200.5864318066939,,24.68080522369624,1.6814285714285715
2308076271,0.3876,0.017185519383125358,0.006519916894268662,,,165.09377075871637,36.0,129.09377075871637,140.96161875128053,56.087752926781434,59.48697626060839,56.14684195340103,20.349808157971445,5.565500981384832,1.4514285714285717
2308129329,0.388,0.039702759583302855,0.010030043698403256,,,261.83895472472096,0.0,261.83895472472096,40.644057913585534,9.048244966981553,47.236328809951736,43.118867270237125,29.814666926491256,3.0096590229795392,1.2885714285714287
2308186140,0.3477,0.03200333069813165,0.004688877440068716,0.3457338000233569,0.13506752045311018,57.86694041297365,276.280197205482,218.41325679250838,62.123027502943366,33.19691860331491,46.57817459476667,59.85129512432212,54.701450199286256,4.134230134031672,1.3614285714285714
2308198197,0.3469,0.02834318362959938,0.003858722517583638,0.023284363235356063,0.007501216797965935,100.43289972322957,103.02726528383948,2.5943655606099156,314.3447236748369,216.17073608632555,155.84057192347194,218.92279963143125,14.429648427755389,32.492318890881094,2.1542857142857144
2308250227,0.3479,0.0632245097375513,0.023452595587293595,,,17.096573535967785,,,9.10547544397541,,41.36075718950813,,25.13952933534148,,1.0014285714285713
2308258220,0.3479,0.10535745823896846,0.040206013407338224,,,180.0,,,10.390353677115524,,35.042911056352935,,18.643556388411074,,1.032857142857143
2308295194,0.3462,0.04824756573445721,0.012155119417338397,0.10336324849196558,0.032856430674827956,210.6720190122515,219.04148390378805,8.369464891536552,99.6159142707494,66.20375455658248,84.04866185649217,73.13032968471224,22.668662289181928,10.843486809810903,1.1614285714285715
2309160103,0.3255,0.03331517175688146,0.009159009360794638,0.05214791583310023,0.017130794416373375,61.007225857593866,270.7288788750876,209.72165301749374,117.87133556438557,70.68494929956381,63.16230020289274,95.26207368164354,10.21752756170559,13.966022836448515,1.1485714285714286
2309198195,0.3259,0.051623190352480856,0.008345469551405027,0.04024359602962482,0.013717062070358485,318.680394060128,128.13944555330707,190.5409485068209,134.76342861214556,31.395351732051235,191.3695477732189,203.36989401913573,35.1304735435423,18.994131419346587,1.8285714285714287
